AirportCode;AirportName;CountryCode;CountryName;LocalizedCountryName;CityCode;CityName;LocalizedCityName;StateCode;StateName;Rating;IfActive
LQM;Puerto Leguizamo;CO;Colombia;Kolombiya;LQM;Puerto Leguizamo;NULL;NULL;NULL;0;1
LQN;Qala Nau;AF;Afghanistan;Afganistan;LQN;Qala Nau;NULL;NULL;NULL;0;1
LRA;Thessalia;GR;Greece;Yunanistan;LRA;Larisa;NULL;NULL;NULL;0;1
LRB;Leribe;LS;Lesotho;Lesotho;LRB;Leribe;NULL;NULL;NULL;0;1
LRC;R A F;DE;Germany;Almanya;LRC;Laarbruch;NULL;NULL;NULL;0;1
LRD;Laredo Intl;US;United States Of America;Amerika;LRD;Laredo;NULL;TX;Texas;0;1
LRE;Longreach;AU;Australia;Avustralya;LRE;Longreach;NULL;QL;Queensland;0;1
LRF;Little Rock;US;United States Of America;Amerika;LRF;Jacksonville;NULL;AR;Arkansas;0;1
LRG;Lora Lai;PK;Pakistan;Pakistan;LRG;Lora Lai;NULL;NULL;NULL;0;1
LRH;Ile De Re;FR;France;Fransa;LRH;La Rochelle;NULL;NULL;NULL;0;1
LRI;Lorica;CO;Colombia;Kolombiya;LRI;Lorica;NULL;NULL;NULL;0;1
LRJ;Lemars Mnpl;US;United States Of America;Amerika;LRJ;Lemars;NULL;IA;Iowa;0;1
LRK;Coast Guard;US;United States Of America;Amerika;LRK;Lincoln Rock;NULL;AK;Alaska;0;1
LRL;Lama Kara;TG;Togo;Togo;LRL;Lama Kara;NULL;NULL;NULL;0;1
LRM;La Romana;DO;Dominican Republic;Dominik Cumhuriyeti;LRM;La Romana;NULL;NULL;NULL;0;1
LRN;Larson Afb;US;United States Of America;Amerika;MWH;Moses Lake;NULL;WA;Washington;0;1
LRO;Sharpe Aaf;US;United States Of America;Amerika;LRO;Lathrop;NULL;CA;California;0;1
LRQ;Laurie River;CA;Canada;Kanada;LRQ;Laurie River;NULL;MB;Manitoba;0;1
LRR;Lar;IR;Iran;Ýran;LRR;Lar;NULL;NULL;NULL;0;1
LRS;Leros;GR;Greece;Yunanistan;LRS;Leros;NULL;NULL;NULL;1;1
LRT;Lann Bihoue;FR;France;Fransa;LRT;Lorient;NULL;NULL;NULL;0;1
LRU;Las Cruces Mnpl;US;United States Of America;Amerika;LRU;Las Cruces;NULL;NM;New Mexico;0;1
LRV;Los Roques;VE;Venezuela;Venezuela;LRV;Los Roques;NULL;NULL;NULL;0;1
LSA;Losuia;PG;Papua New Guinea;Papua Yeni Gine;LSA;Losuia;NULL;NULL;NULL;0;1
LSB;Lordsburg;US;United States Of America;Amerika;LSB;Lordsburg;NULL;NM;New Mexico;0;1
LSC;La Florida;CL;Chile;Þili;LSC;La Serena;NULL;NULL;NULL;0;1
LSD;Creech Aaf;US;United States Of America;Amerika;LEX;Lexington;NULL;KY;Kentucky;0;1
LSE;La Crosse Mnpl;US;United States Of America;Amerika;LSE;La Crosse;NULL;WI;Wisconsin;0;1
LSF;Lawson Aaf;US;United States Of America;Amerika;CSG;Columbus;NULL;GA;Georgia;0;1
LSH;Lashio;MM;Myanmar;Myanmar;LSH;Lashio;NULL;NULL;NULL;0;1
